 Timecode, m      
11/05/2023 16:01,5.205.924
11/05/2023 16:01,5.362.949
11/05/2023 16:01,5.473.629
11/05/2023 16:01,5.399.857
11/05/2023 16:01,5.238.276
11/05/2023 16:01,5.162.769
11/05/2023 16:01,5.235.195
11/05/2023 16:01,5.319.872
11/05/2023 16:01,5.359.873
11/05/2023 16:01,5.382.943
11/05/2023 16:02,5.393.707
11/05/2023 16:02,5.339.875
11/05/2023 16:02,5.296.786
11/05/2023 16:02,5.301.404
11/05/2023 16:02,5.344.490
11/05/2023 16:02,5.342.952
11/05/2023 16:02,5.324.488
11/05/2023 16:02,5.350.644
11/05/2023 16:02,5.326.027
11/05/2023 16:02,5.356.797
11/05/2023 16:02,5.452.118
11/05/2023 16:02,5.450.581
11/05/2023 16:02,5.378.329
11/05/2023 16:02,5.373.716
11/05/2023 16:02,5.356.797
11/05/2023 16:02,5.275.234
11/05/2023 16:02,5.281.392
11/05/2023 16:02,5.336.798
11/05/2023 16:02,5.372.178
11/05/2023 16:02,5.445.971
11/05/2023 16:02,5.449.044
11/05/2023 16:02,5.355.258
11/05/2023 16:02,5.282.932
11/05/2023 16:02,5.262.916
11/05/2023 16:02,5.272.155
11/05/2023 16:02,5.281.392
11/05/2023 16:02,5.312.177
11/05/2023 16:02,5.333.720
11/05/2023 16:02,5.330.643
11/05/2023 16:02,5.350.644
11/05/2023 16:02,5.372.178
11/05/2023 16:02,5.359.873
11/05/2023 16:02,5.346.028
11/05/2023 16:02,5.309.099
11/05/2023 16:02,5.235.195
11/05/2023 16:02,5.279.853
11/05/2023 16:02,5.341.413
11/05/2023 16:02,5.329.104
11/05/2023 16:02,5.373.716
11/05/2023 16:02,5.406.007
11/05/2023 16:02,5.358.335
11/05/2023 16:02,5.293.708
11/05/2023 16:02,5.326.027
11/05/2023 16:02,5.425.991
11/05/2023 16:02,5.415.231
11/05/2023 16:02,5.347.567
11/05/2023 16:02,5.376.791
11/05/2023 16:02,5.467.483
11/05/2023 16:02,5.498.207
11/05/2023 16:02,5.508.958
11/05/2023 16:02,5.470.556
11/05/2023 16:02,5.330.643
11/05/2023 16:02,5.269.076
11/05/2023 16:02,5.269.076
11/05/2023 16:02,5.330.643
11/05/2023 16:02,5.384.480
11/05/2023 16:02,5.436.750
11/05/2023 16:02,5.425.991
11/05/2023 16:02,5.373.716
11/05/2023 16:02,5.267.536
11/05/2023 16:03,5.209.005
11/05/2023 16:03,5.310.638
11/05/2023 16:03,5.330.643
11/05/2023 16:03,5.336.798
11/05/2023 16:03,5.386.018
11/05/2023 16:03,5.278.313
11/05/2023 16:03,5.255.217
11/05/2023 16:03,5.395.244
11/05/2023 16:03,5.401.394
11/05/2023 16:03,5.381.405
11/05/2023 16:03,5.307.560
11/05/2023 16:03,5.181.267
11/05/2023 16:03,5.236.735
11/05/2023 16:03,5.349.105
11/05/2023 16:03,5.358.335
11/05/2023 16:03,5.329.104
11/05/2023 16:03,5.402.932
11/05/2023 16:03,5.372.178
11/05/2023 16:03,5.293.708
11/05/2023 16:03,5.241.356
11/05/2023 16:03,5.219.790
11/05/2023 16:03,5.287.550
11/05/2023 16:03,5.390.631
11/05/2023 16:03,5.533.527
11/05/2023 16:03,5.539.668
11/05/2023 16:03,5.402.932
11/05/2023 16:03,5.346.028
11/05/2023 16:03,5.304.482
11/05/2023 16:03,5.292.168
11/05/2023 16:03,5.358.335
11/05/2023 16:03,5.415.231
11/05/2023 16:03,5.409.081
11/05/2023 16:03,5.355.258
11/05/2023 16:03,5.287.550
11/05/2023 16:03,5.361.411
11/05/2023 16:03,5.390.631
11/05/2023 16:03,5.321.411
11/05/2023 16:03,5.330.643
11/05/2023 16:03,5.326.027
11/05/2023 16:03,5.313.716
11/05/2023 16:03,5.281.392
11/05/2023 16:03,5.275.234
11/05/2023 16:03,5.396.782
11/05/2023 16:03,5.476.701
11/05/2023 16:03,5.422.917
11/05/2023 16:03,5.344.490
11/05/2023 16:03,5.304.482
11/05/2023 16:03,5.273.695
11/05/2023 16:03,5.265.996
11/05/2023 16:03,5.347.567
11/05/2023 16:03,5.441.360
11/05/2023 16:03,5.404.469
11/05/2023 16:03,5.378.329
11/05/2023 16:03,5.475.165
11/05/2023 16:03,5.490.527
11/05/2023 16:03,5.350.644
11/05/2023 16:03,5.238.276
11/05/2023 16:03,5.276.774
11/05/2023 16:03,5.335.259
11/05/2023 16:03,5.386.018
11/05/2023 16:04,5.481.310
11/05/2023 16:04,5.504.350
11/05/2023 16:04,5.353.720
11/05/2023 16:04,5.259.837
11/05/2023 16:04,5.256.757
11/05/2023 16:04,5.269.076
11/05/2023 16:04,5.301.404
11/05/2023 16:04,5.350.644
11/05/2023 16:04,5.381.405
11/05/2023 16:04,5.392.169
11/05/2023 16:04,5.372.178
11/05/2023 16:04,5.321.411
11/05/2023 16:04,5.287.550
11/05/2023 16:04,5.322.950
11/05/2023 16:04,5.358.335
11/05/2023 16:04,5.309.099
11/05/2023 16:04,5.293.708
11/05/2023 16:04,5.312.177
11/05/2023 16:04,5.307.560
11/05/2023 16:04,5.326.027
11/05/2023 16:04,5.456.728
11/05/2023 16:04,5.498.207
11/05/2023 16:04,5.419.842
11/05/2023 16:04,5.327.566
11/05/2023 16:04,5.198.219
11/05/2023 16:04,5.179.725
11/05/2023 16:04,5.279.853
11/05/2023 16:04,5.421.379
11/05/2023 16:04,5.473.629
11/05/2023 16:04,5.410.619
11/05/2023 16:04,5.269.076
11/05/2023 16:04,5.227.493
11/05/2023 16:04,5.295.247
11/05/2023 16:04,5.332.182
11/05/2023 16:04,5.344.490
