 Timecode, m      
05/11/2023 16:01:00,5205924
05/11/2023 16:01:00,5362949
05/11/2023 16:01:00,5473629
05/11/2023 16:01:00,5399857
05/11/2023 16:01:00,5238276
05/11/2023 16:01:00,5162769
05/11/2023 16:01:00,5235195
05/11/2023 16:01:00,5319872
05/11/2023 16:01:00,5359873
05/11/2023 16:01:00,5382943
05/11/2023 16:02:00,5393707
05/11/2023 16:02:00,5339875
05/11/2023 16:02:00,5296786
05/11/2023 16:02:00,5301404
05/11/2023 16:02:00,5344490
05/11/2023 16:02:00,5342952
05/11/2023 16:02:00,5324488
05/11/2023 16:02:00,5350644
05/11/2023 16:02:00,5326027
05/11/2023 16:02:00,5356797
05/11/2023 16:02:00,5452118
05/11/2023 16:02:00,5450581
05/11/2023 16:02:00,5378329
05/11/2023 16:02:00,5373716
05/11/2023 16:02:00,5356797
05/11/2023 16:02:00,5275234
05/11/2023 16:02:00,5281392
05/11/2023 16:02:00,5336798
05/11/2023 16:02:00,5372178
05/11/2023 16:02:00,5445971
05/11/2023 16:02:00,5449044
05/11/2023 16:02:00,5355258
05/11/2023 16:02:00,5282932
05/11/2023 16:02:00,5262916
05/11/2023 16:02:00,5272155
05/11/2023 16:02:00,5281392
05/11/2023 16:02:00,5312177
05/11/2023 16:02:00,5333720
05/11/2023 16:02:00,5330643
05/11/2023 16:02:00,5350644
05/11/2023 16:02:00,5372178
05/11/2023 16:02:00,5359873
05/11/2023 16:02:00,5346028
05/11/2023 16:02:00,5309099
05/11/2023 16:02:00,5235195
05/11/2023 16:02:00,5279853
05/11/2023 16:02:00,5341413
05/11/2023 16:02:00,5329104
05/11/2023 16:02:00,5373716
05/11/2023 16:02:00,5406007
05/11/2023 16:02:00,5358335
05/11/2023 16:02:00,5293708
05/11/2023 16:02:00,5326027
05/11/2023 16:02:00,5425991
05/11/2023 16:02:00,5415231
05/11/2023 16:02:00,5347567
05/11/2023 16:02:00,5376791
05/11/2023 16:02:00,5467483
05/11/2023 16:02:00,5498207
05/11/2023 16:02:00,5508958
05/11/2023 16:02:00,5470556
05/11/2023 16:02:00,5330643
05/11/2023 16:02:00,5269076
05/11/2023 16:02:00,5269076
05/11/2023 16:02:00,5330643
05/11/2023 16:02:00,5384480
05/11/2023 16:02:00,5436750
05/11/2023 16:02:00,5425991
05/11/2023 16:02:00,5373716
05/11/2023 16:02:00,5267536
05/11/2023 16:03:00,5209005
05/11/2023 16:03:00,5310638
05/11/2023 16:03:00,5330643
